ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 147765939,Preço na prateleira diferente do que está no caixa ,Campinas - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Propaganda enganosa,Resolvido,"Alegando erro operacional mas que se repete seguidamente, preços nas prateleiras que estão na oferta sempre passam com preço cheio no caixa, já reclamei tantas vezes, cansei. Acho que não se importam mesmo.",https://www.reclameaqui.com.br//pao-de-acucar/preco-na-prateleira-diferente-do-que-esta-no-caixa_2mb6YodVR1QU-YtI/,2022,1,8,8,1,5,1,24
 147699053,UTILIZAÇÃO INDEVIDA DOS MEUS STIX,São Paulo - SP,2022-01-08,Clubes de Compras e Vantagens<->Pão de Açúcar<->Pontos,Resolvido,"Estou chocada pois acabei de ver um e-mail na minha caixa de entrada na qual informa que no dia 31/7/22 as 11:03hs troquei meus  stix nos caixas do Extra  lojas n.[Editado pelo Reclame Aqui]1 e 2623, localizados na av. Nossa Senhora do Sabará, 3015, São Paulo/SP. Informo veementemente que NÃO UTILIZEI STIX algum e muito menos autorizei qualquer pessoa a utilizá-los. Um absurdo, as caixas dos supermercados autorizarem resgates de stix sem ao menos pedir um documento de identificação pessoal.Dessa forma, como utilizaram indevidamente meu CPF para obter os stix no caixa (como noticiado por email pela empresa Stix), peço providências urgentes, inclusive com a devida restituição dos pontos.",https://www.reclameaqui.com.br//pao-de-acucar/utilizacao-indevida-dos-meus-stix_rvsEYY_R7JrtSWq1/,2022,1,8,8,1,5,1,24
 147700991,Não recebi meu estorno ,Rio de Janeiro - RJ,2022-01-08,Supermercados<->Não encontrei meu problema<->Pão de Açúcar<->Estorno do valor pago,Respondida,"Fiz um reclamação semana passada, devido uma compra no dia 4/07, no valor de 306,00 reais, não me entregaram a compra e até o momento não recebi meu dinheiro de volta, já mandei o número da minha conta, já me mandaram mensagem no WhatsApp dizendo que estava sendo solucionado o problema mas não vi meu dinheiro na conta, quero uma solução.",https://www.reclameaqui.com.br//pao-de-acucar/nao-recebi-meu-estorno_zieE9VQj-bpBSS8s/,2022,1,8,8,1,5,1,24
 147703729,Tiraram pontos stix da conta.,São Paulo - SP,2022-01-08,Clubes de Compras e Vantagens<->Pão de Açúcar<->Mau Atendimento<->Pontos,Respondida,"Conclui minha a meta gasto mensal no programa em 30/05/22, recebendo meus pontos. Mais em 06/06/2022, estornaram os pontos Stix da conta.Abri uma reclamação abaixo:Agradecemos seu contato com a Casa do Cliente sobre o protocolo 3142013.Em atenção à sua manifestação registrada no protocolo: 3305877Em atenção à sua manifestação de número: TKT 3347162PERGUNTA VCS VAO DEVOLVER MEUS PONTOS ????Aguardo Solução !!!",https://www.reclameaqui.com.br//pao-de-acucar/tiraram-pontos-stix-da-conta_VV-X-bnSVpIQiRHh/,2022,1,8,8,1,5,1,24
 147705769,[Editado pelo Reclame Aqui] pontos stix,São Paulo - SP,2022-01-08,Clubes de Compras e Vantagens<->Pão de Açúcar<->Pontos,Respondida,"Pela segunda vez no mesmo mês tive meus pontos stix [Editado pelo Reclame Aqui]s da minha conta. Aparece que eles foram resgatados no caixa, em mercados que nunca estive na vida. Eu não faço resgate no caixa. Entrei em contato novamente para ressarcimento e a Stix e gostaria de reclamar, primeiro da demora em ressarcimento dessa pontuação.Segundo, da falta de segurança com nossos dados. Qualquer pessoa pode resgatar minha pontuação sem nem mesmo apresentar o documento? Isso é inadmissível. Não há apuração sobre quem vem usando meus dados, se é interno ou externo do mercado, isso é extremamente sério, fere a lei geral de proteção de dados.Solicito que restituam minha pontuação com urgência e verifiquem uma forma de proteger os clientes desse tipo de [Editado pelo Reclame Aqui]. Isso está acontecendo pela segunda vez e, se não verificaram como inserir algum dispositivo de segurança, vai acontecer novamente.",https://www.reclameaqui.com.br//pao-de-acucar/pontos-stix_ETukPkWJ-2nVohwh/,2022,1,8,8,1,5,1,24
 147717373,Saque de pontos indevido,São Paulo - SP,2022-01-08,Clubes de Compras e Vantagens<->Pão de Açúcar<->Estorno do valor pago<->Pontos,Respondida,No dia 22/7 entrei em contato com o Sac sob protocolo de n.220721000472 porque percebi no dia anterior dois saques de pontos no meu Stix que nao foram feitos por mim. Inclusive porque eu estava no interior. OS saques foram feitos em 13/07/2022 na loja 2349 (19.940 e 18.881 pontos respectivamente).Entrei em contato e até agora estou esperando um posicionamento e nada nem de me responderem e nem de me estornarem os pontos.,https://www.reclameaqui.com.br//pao-de-acucar/saque-de-pontos-indevido_c3gEj_uWOhJ4Drre/,2022,1,8,8,1,5,1,24
 147722347,PRODUTO VENCIDO ,Campinas - SP,2022-01-08,Peito de Frango<->Vencido<->Pão de Açúcar<->Frios,Respondida,"Comprei produto congelado noMinuto Pão de Açúcar Cambuí (Campinas-SP), pela plataforma IFood. Coxinha da asa veio com validade expirada, fiz a compra dia 31/07 e venceu em 28/07, produto foi entregue vencido! Me enviaram um produto com condições improprias para consumo, tentei contato com a loja porém encerram o chat e não deram um retorno.Solicito resposta é uma resolução das situação! ",https://www.reclameaqui.com.br//pao-de-acucar/produto-vencido_hv3JQKCF7bK4xGxa/,2022,1,8,8,1,5,1,24
 147726439,Produto recebido vazio,Campinas - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Produto com defeito,Resolvido,"Recebi há pouco meu pedido efetuado no dia de ontem (27262641) através do site. Pedi 9 unidades da bebida láctea Toddynho,porém uma delas veio completamente vazia. Tentei contato pelo Whatsapp e chat,porém eles apenas informam um telefone. Estou em horário de trabalho,sem acesso ao telefone. Poderiam agilizar esse tipo de procedimento (troca).Grata.",https://www.reclameaqui.com.br//pao-de-acucar/produto-recebido-vazio_qcUBdlqm-sIQGgay/,2022,1,8,8,1,5,1,24
 147733339,Itens em promoção click e retire,São Paulo - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Entrega faltando itens,Resolvido,Não se iluda vc pode comprar um item em promoção no click e retire e quando for retirar suas compras ele simplesmente não foi adicionado. A resposta é não tinhamos e vc ficou sem!!! Sustituição? Só se for interessante para eles neste caso nem me consultaram!! ,https://www.reclameaqui.com.br//pao-de-acucar/itens-em-promocao-click-e-retire_0Ax3eMZ06LYhG741/,2022,1,8,8,1,5,1,24
 147739881,Esteira com defeito!,Belford Roxo - RJ,2022-01-08,Pão de Açúcar<->Problemas com o Atendimento<->Propaganda enganosa<->Equipe de Atendimento,Em réplica," Boa tarde! Agora parece que que fui bloqueada pelo grupo  Pão  de Açúcar! Não consigo mais falar com eles no privado! Quem precisa sou eu,então como não estão dando a mínima para o meu problema, vou entrar na justiça e comprar outra esteira! Obrigada pelo descaso PÃO DE AÇÚCAR!",https://www.reclameaqui.com.br//pao-de-acucar/esteira-com-defeito_6HYYHf_JwRtIyqCo/,2022,1,8,8,1,5,1,24
