TEMA,LOCAL,ESTADO,CATEGORIA,STATUS,DESCRICAO,CASOS_POR_DIA,DATA,ANO,MES,ANO_MES
PREÇO NA PRATELEIRA DIFERENTE DO QUE ESTÁ NO CAIXA,CAMPINAS - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROPAGANDA ENGANOSA']",RESOLVIDO,"Alegando erro operacional mas que se repete seguidamente, preços nas prateleiras que estão na oferta sempre passam com preço cheio no caixa, já reclamei tantas vezes, cansei. Acho que não se importam mesmo.",24,2022-01-08,2022,1,2022-01
UTILIZAÇÃO INDEVIDA DOS MEUS STIX,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PONTOS']",RESOLVIDO,"Estou chocada pois acabei de ver um e-mail na minha caixa de entrada na qual informa que no dia 31/7/22 as 11:03hs troquei meus  stix nos caixas do Extra  lojas n.[Editado pelo Reclame Aqui]1 e 2623, localizados na av. Nossa Senhora do Sabará, 3015, São Paulo/SP. Informo veementemente que NÃO UTILIZEI STIX algum e muito menos autorizei qualquer pessoa a utilizá-los. Um absurdo, as caixas dos supermercados autorizarem resgates de stix sem ao menos pedir um documento de identificação pessoal.Dessa forma, como utilizaram indevidamente meu CPF para obter os stix no caixa (como noticiado por email pela empresa Stix), peço providências urgentes, inclusive com a devida restituição dos pontos.",24,2022-01-08,2022,1,2022-01
NÃO RECEBI MEU ESTORNO,RIO DE JANEIRO - RJ,RJ,"['SUPERMERCADOS', 'NÃO ENCONTREI MEU PROBLEMA', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO']",RESPONDIDA,"Fiz um reclamação semana passada, devido uma compra no dia 4/07, no valor de 306,00 reais, não me entregaram a compra e até o momento não recebi meu dinheiro de volta, já mandei o número da minha conta, já me mandaram mensagem no WhatsApp dizendo que estava sendo solucionado o problema mas não vi meu dinheiro na conta, quero uma solução.",24,2022-01-08,2022,1,2022-01
TIRARAM PONTOS STIX DA CONTA.,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'MAU ATENDIMENTO', 'PONTOS']",RESPONDIDA,"Conclui minha a meta gasto mensal no programa em 30/05/22, recebendo meus pontos. Mais em 06/06/2022, estornaram os pontos Stix da conta.Abri uma reclamação abaixo:Agradecemos seu contato com a Casa do Cliente sobre o protocolo 3142013.Em atenção à sua manifestação registrada no protocolo: 3305877Em atenção à sua manifestação de número: TKT 3347162PERGUNTA VCS VAO DEVOLVER MEUS PONTOS ????Aguardo Solução !!!",24,2022-01-08,2022,1,2022-01
[EDITADO PELO RECLAME AQUI] PONTOS STIX,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PONTOS']",RESPONDIDA,"Pela segunda vez no mesmo mês tive meus pontos stix [Editado pelo Reclame Aqui]s da minha conta. Aparece que eles foram resgatados no caixa, em mercados que nunca estive na vida. Eu não faço resgate no caixa. Entrei em contato novamente para ressarcimento e a Stix e gostaria de reclamar, primeiro da demora em ressarcimento dessa pontuação.Segundo, da falta de segurança com nossos dados. Qualquer pessoa pode resgatar minha pontuação sem nem mesmo apresentar o documento? Isso é inadmissível. Não há apuração sobre quem vem usando meus dados, se é interno ou externo do mercado, isso é extremamente sério, fere a lei geral de proteção de dados.Solicito que restituam minha pontuação com urgência e verifiquem uma forma de proteger os clientes desse tipo de [Editado pelo Reclame Aqui]. Isso está acontecendo pela segunda vez e, se não verificaram como inserir algum dispositivo de segurança, vai acontecer novamente.",24,2022-01-08,2022,1,2022-01
SAQUE DE PONTOS INDEVIDO,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO', 'PONTOS']",RESPONDIDA,No dia 22/7 entrei em contato com o Sac sob protocolo de n.220721000472 porque percebi no dia anterior dois saques de pontos no meu Stix que nao foram feitos por mim. Inclusive porque eu estava no interior. OS saques foram feitos em 13/07/2022 na loja 2349 (19.940 e 18.881 pontos respectivamente).Entrei em contato e até agora estou esperando um posicionamento e nada nem de me responderem e nem de me estornarem os pontos.,24,2022-01-08,2022,1,2022-01
PRODUTO VENCIDO,CAMPINAS - SP,SP,"['PEITO DE FRANGO', 'VENCIDO', 'PÃO DE AÇÚCAR', 'FRIOS']",RESPONDIDA,"Comprei produto congelado noMinuto Pão de Açúcar Cambuí (Campinas-SP), pela plataforma IFood. Coxinha da asa veio com validade expirada, fiz a compra dia 31/07 e venceu em 28/07, produto foi entregue vencido! Me enviaram um produto com condições improprias para consumo, tentei contato com a loja porém encerram o chat e não deram um retorno.Solicito resposta é uma resolução das situação! ",24,2022-01-08,2022,1,2022-01
PRODUTO RECEBIDO VAZIO,CAMPINAS - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PRODUTO COM DEFEITO']",RESOLVIDO,"Recebi há pouco meu pedido efetuado no dia de ontem (27262641) através do site. Pedi 9 unidades da bebida láctea Toddynho,porém uma delas veio completamente vazia. Tentei contato pelo Whatsapp e chat,porém eles apenas informam um telefone. Estou em horário de trabalho,sem acesso ao telefone. Poderiam agilizar esse tipo de procedimento (troca).Grata.",24,2022-01-08,2022,1,2022-01
ITENS EM PROMOÇÃO CLICK E RETIRE,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'ENTREGA FALTANDO ITENS']",RESOLVIDO,Não se iluda vc pode comprar um item em promoção no click e retire e quando for retirar suas compras ele simplesmente não foi adicionado. A resposta é não tinhamos e vc ficou sem!!! Sustituição? Só se for interessante para eles neste caso nem me consultaram!! ,24,2022-01-08,2022,1,2022-01
ESTEIRA COM DEFEITO!,BELFORD ROXO - RJ,RJ,"['PÃO DE AÇÚCAR', 'PROBLEMAS COM O ATENDIMENTO', 'PROPAGANDA ENGANOSA', 'EQUIPE DE ATENDIMENTO']",EM RÉPLICA," Boa tarde! Agora parece que que fui bloqueada pelo grupo  Pão  de Açúcar! Não consigo mais falar com eles no privado! Quem precisa sou eu,então como não estão dando a mínima para o meu problema, vou entrar na justiça e comprar outra esteira! Obrigada pelo descaso PÃO DE AÇÚCAR!",24,2022-01-08,2022,1,2022-01
ENTREGA E CONTATO,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESPONDIDA,Todas as vezes que peço online a entrega chega  horário que não foi o agendado. Assim como os entregadores são muito ruins em entender o problema do cliente ,24,2022-01-08,2022,1,2022-01
EM MENOS DE 1 ANO TEM UM BURACO NO SOFÁ,RIO DE JANEIRO - RJ,RJ,"['MÁ QUALIDADE DO PRODUTO', 'SOFÁS E ESTOFADOS', 'PÃO DE AÇÚCAR']",EM RÉPLICA,"Comprei um sofá que chegou em Outubro/2021 e em seguida eu sai de férias, ou seja, o sofá começou a ser usado em Novembro/2022. Há cerca de 2 meses percebi um buraco onde eu sento e eu não tenho nem 70kg, ou seja, nada a justifica a não ser a má qualidade do produto.Entrei em contato com a Mobly sob o  #2208011952892 que só me respondeu que eu tenho que entrar em contato com o Pão de Açucar pois foi comprado através deles. Mandei um email e não tive resposta. O descaso da Mobly é enorme e eu, como consumidora, me sinto totalmente deixada de lado. Gastei R$ 1.810,00 em um sofá para durar menos de 1 ano de uso?? Totalmente desapontada com a Mobly!",24,2022-01-08,2022,1,2022-01
NÃO CONSIGO EXCLUIR MINHA CONTA DO SITE,ITATINGA - SP,SP,"['PÃO DE AÇÚCAR', 'CANAIS DE ATENDIMENTO', 'PROBLEMAS COM O ATENDIMENTO', 'MAU ATENDIMENTO']",RESOLVIDO,"Eu criei a conta para tentar aproveitar uma promoção, mas percebi que não valeria a pena pra mim e resolvi excluir a conta, mas não há um botão acessível para exclusão da conta e os canais de atendimento não são tão eficientes, pedem diversos dados para entrar em contato via e-mail e o chat fica no status ""digitando.."".De acordo com a LGPD, essa opção é obrigatória.",24,2022-01-08,2022,1,2022-01
STIX MIGROU MINHA RECLAMAÇÃO DELES PARA O PÃO DE AÇUCAR,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'MAU ATENDIMENTO']",RESPONDIDA,"A Stix demorou 30 dias para passar minha reclamação para o Pão de Açucar. Reclamei do tempo e eles migraram a reclamação do tempo de espera também para o Pão de Açucar. Quem demorou 30 dias para me responder foi a Stix, não o Pão de Açucar. Agora querem passar para outro o problema dizendo que é a mesma coisa. Não é a toa que o índice de resposta de Stix está alto. Vocês jogam tudo no colo dos outros.Após tudo que está acontecendo, eu JAMAIS passaria pontos de qualquer outro programa para aStix, já que eles não em atendimento, apenas repassamo problema.",24,2022-01-08,2022,1,2022-01
PROPAGANDA ENGANOSA,SÃO PAULO - SP,SP,"['PROPAGADA ENGANOSA', 'PÃO DE AÇÚCAR', 'PRESERVATIVO', 'HIGIENE E LIMPEZA PESSOAL']",EM RÉPLICA,"Estive comprando um barra de chocolate no Pão de Açúcar da vila Mariana- São Paulo onde o preço da barra de chocolate estava 5,29 ( chocolate talento) na promoção Ao chegar em casa me deparo que foi cobrado bem mais Onde a mesma na nota fiscal consta 7,89.  ",24,2022-01-08,2022,1,2022-01
